iter	Passed	Remaining
0	61	61772
1	62	31053
2	62	20792
3	62	15667
4	63	12586
5	63	10535
6	63	9068
7	64	7970
8	64	7119
9	64	6433
10	65	5874
11	65	5404
12	65	5006
13	66	4665
14	66	4384
15	67	4136
16	67	3918
17	68	3722
18	68	3542
19	68	3375
20	69	3228
21	69	3094
22	69	2970
23	70	2861
24	70	2759
25	71	2663
26	71	2573
27	71	2489
28	72	2411
29	72	2338
30	72	2269
31	73	2210
32	73	2154
33	73	2101
34	74	2047
35	74	1996
36	75	1954
37	75	1911
38	75	1871
39	76	1833
40	76	1795
41	77	1759
42	77	1726
43	77	1694
44	78	1665
45	78	1636
46	79	1609
47	79	1583
48	80	1558
49	80	1534
50	81	1510
51	81	1486
52	81	1462
53	82	1442
54	82	1421
55	83	1399
56	83	1378
57	83	1358
58	83	1338
59	84	1318
60	84	1300
61	84	1282
62	85	1265
63	85	1248
64	85	1232
65	86	1217
66	86	1203
67	86	1186
68	86	1171
69	87	1158
70	87	1145
71	87	1131
72	88	1119
73	88	1107
74	88	1095
75	89	1084
76	89	1072
77	89	1061
78	90	1050
79	90	1039
80	90	1030
81	91	1022
82	91	1012
83	91	1003
84	92	992
85	92	983
86	92	972
87	93	963
88	93	955
89	93	946
90	93	938
91	94	930
92	94	922
93	94	914
94	95	907
95	95	899
96	95	892
97	96	885
98	96	878
99	96	871
100	97	865
101	97	857
102	97	851
103	98	845
104	98	840
105	99	835
106	99	829
107	99	824
108	100	819
109	100	813
110	100	808
111	101	804
112	101	799
113	102	795
114	102	790
115	102	784
116	103	779
117	103	774
118	103	769
119	104	765
120	104	761
121	105	757
122	105	752
123	105	747
124	106	743
125	106	740
126	107	736
127	107	731
128	107	727
129	108	722
130	108	718
131	108	714
132	108	710
133	109	705
134	109	702
135	109	698
136	110	695
137	110	690
138	110	687
139	111	683
140	111	679
141	111	676
142	112	672
143	112	669
144	113	666
145	113	663
146	113	661
147	114	658
148	114	654
149	114	651
150	115	647
151	115	645
152	116	643
153	116	640
154	117	638
155	117	635
156	117	632
157	118	629
158	118	625
159	118	622
160	118	619
161	119	616
162	119	613
163	119	610
164	120	607
165	120	605
166	120	602
167	121	600
168	121	598
169	122	596
170	122	594
171	123	592
172	123	590
173	123	588
174	124	585
175	124	584
176	125	582
177	125	579
178	125	577
179	126	575
180	126	571
181	126	569
182	126	566
183	127	565
184	127	563
185	128	561
186	128	559
187	129	557
188	129	555
189	130	554
190	130	552
191	130	551
192	131	549
193	131	547
194	132	545
195	132	543
196	132	541
197	133	539
198	133	537
199	133	535
200	134	534
201	134	532
202	135	530
203	135	528
204	135	527
205	136	525
206	136	524
207	137	522
208	137	520
209	137	518
210	138	517
211	138	515
212	139	514
213	139	512
214	139	510
215	140	508
216	140	506
217	140	504
218	141	503
219	141	501
220	141	499
221	142	498
222	142	496
223	142	495
224	143	493
225	143	491
226	143	489
227	144	487
228	144	486
229	144	484
230	145	483
231	145	481
232	146	480
233	146	479
234	146	477
235	147	476
236	147	475
237	148	474
238	148	472
239	149	471
240	149	470
241	149	469
242	150	467
243	150	466
244	151	465
245	151	463
246	151	462
247	152	461
248	152	460
249	153	459
250	153	458
251	153	456
252	154	455
253	154	453
254	154	452
255	155	451
256	155	450
257	156	449
258	156	447
259	156	446
260	157	444
261	157	443
262	157	442
263	158	441
264	158	440
265	159	439
266	159	437
267	159	436
268	160	435
269	160	433
270	160	432
271	161	431
272	161	430
273	162	429
274	162	428
275	162	426
276	163	425
277	163	424
278	163	423
279	164	422
280	164	421
281	165	420
282	165	419
283	165	418
284	166	416
285	166	415
286	166	414
287	167	413
288	167	412
289	167	410
290	168	409
291	168	408
292	168	406
293	168	405
294	169	404
295	169	403
296	169	401
297	170	400
298	170	399
299	170	398
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	390
306	172	389
307	172	388
308	173	387
309	173	385
310	173	384
311	174	383
312	174	382
313	174	381
314	175	380
315	175	379
316	176	379
317	176	378
318	176	377
319	177	376
320	177	375
321	177	374
322	178	373
323	178	372
324	178	371
325	179	370
326	179	368
327	179	367
328	179	366
329	180	365
330	180	364
331	180	363
332	180	362
333	181	361
334	181	360
335	181	359
336	182	358
337	182	357
338	182	356
339	182	355
340	183	353
341	183	353
342	183	351
343	184	350
344	184	349
345	184	348
346	184	347
347	185	346
348	185	345
349	185	344
350	185	343
351	186	342
352	186	341
353	186	340
354	186	339
355	187	338
356	187	337
357	187	336
358	187	335
359	188	334
360	188	333
361	188	332
362	188	331
363	189	330
364	189	329
365	189	328
366	189	327
367	190	326
368	190	325
369	190	324
370	190	323
371	191	322
372	191	321
373	191	320
374	191	319
375	192	318
376	192	318
377	192	317
378	192	316
379	193	315
380	193	314
381	193	313
382	194	312
383	194	311
384	194	310
385	194	309
386	194	308
387	195	307
388	195	307
389	195	306
390	195	305
391	196	304
392	196	303
393	196	302
394	196	301
395	197	300
396	197	299
397	197	299
398	197	298
399	198	297
400	198	296
401	198	295
402	198	294
403	199	293
404	199	292
405	199	292
406	199	291
407	200	290
408	200	289
409	200	288
410	200	287
411	201	287
412	201	286
413	201	285
414	201	284
415	202	283
416	202	282
417	202	282
418	202	281
419	203	280
420	203	279
421	203	278
422	203	278
423	204	277
424	204	276
425	204	275
426	205	275
427	205	274
428	205	273
429	205	272
430	206	272
431	206	271
432	206	270
433	206	269
434	207	268
435	207	268
436	207	267
437	207	266
438	208	265
439	208	265
440	208	264
441	208	263
442	209	262
443	209	262
444	209	261
445	209	260
446	210	259
447	210	259
448	210	258
449	210	257
450	211	256
451	211	256
452	211	255
453	211	254
454	212	254
455	212	253
456	212	252
457	212	251
458	213	251
459	213	250
460	213	249
461	213	249
462	214	248
463	214	247
464	214	246
465	214	246
466	215	245
467	215	244
468	215	244
469	215	243
470	216	242
471	216	241
472	216	241
473	216	240
474	217	239
475	217	239
476	217	238
477	217	237
478	218	237
479	218	236
480	218	235
481	218	235
482	219	234
483	219	233
484	219	233
485	219	232
486	220	231
487	220	231
488	220	230
489	220	229
490	221	229
491	221	228
492	221	227
493	221	227
494	222	226
495	222	225
496	222	225
497	222	224
498	223	223
499	223	223
500	223	222
501	223	222
502	224	221
503	224	220
504	224	220
505	224	219
506	225	218
507	225	218
508	225	217
509	225	216
510	226	216
511	226	215
512	226	215
513	226	214
514	227	213
515	227	213
516	227	212
517	227	211
518	228	211
519	228	210
520	228	210
521	228	209
522	229	208
523	229	208
524	229	207
525	229	207
526	230	206
527	230	205
528	230	205
529	230	204
530	231	204
531	231	203
532	231	202
533	231	202
534	232	201
535	232	201
536	232	200
537	232	199
538	233	199
539	233	198
540	233	198
541	233	197
542	234	197
543	234	196
544	234	195
545	234	195
546	235	194
547	235	194
548	235	193
549	235	193
550	236	192
551	236	191
552	236	191
553	236	190
554	237	190
555	237	189
556	237	189
557	237	188
558	238	187
559	238	187
560	238	186
561	238	186
562	239	185
563	239	185
564	239	184
565	240	184
566	240	183
567	240	182
568	240	182
569	241	181
570	241	181
571	241	180
572	241	180
573	242	179
574	242	179
