iter	Passed	Remaining
0	61	61092
1	61	30685
2	61	20577
3	62	15487
4	62	12428
5	62	10389
6	62	8931
7	63	7842
8	63	6989
9	63	6311
10	64	5754
11	64	5290
12	64	4895
13	64	4558
14	65	4270
15	65	4014
16	65	3788
17	65	3588
18	66	3409
19	66	3247
20	66	3101
21	66	2967
22	67	2847
23	67	2735
24	67	2633
25	67	2538
26	67	2450
27	68	2368
28	68	2292
29	68	2221
30	68	2155
31	69	2092
32	69	2033
33	69	1978
34	69	1926
35	70	1877
36	70	1831
37	70	1787
38	70	1745
39	71	1705
40	71	1668
41	71	1631
42	71	1597
43	72	1564
44	72	1533
45	72	1503
46	72	1475
47	73	1448
48	73	1422
49	73	1398
50	73	1373
51	74	1350
52	74	1329
53	74	1308
54	75	1288
55	75	1269
56	75	1250
57	75	1232
58	76	1215
59	76	1198
60	76	1181
61	77	1165
62	77	1150
63	77	1135
64	77	1120
65	78	1107
66	78	1093
67	78	1080
68	79	1067
69	79	1054
70	79	1042
71	79	1029
72	80	1017
73	80	1005
74	80	993
75	80	982
76	81	971
77	81	960
78	81	950
79	81	940
80	82	930
81	82	920
82	82	910
83	82	900
84	82	891
85	83	883
86	83	874
87	83	865
88	83	857
89	84	849
90	84	841
91	84	834
92	84	827
93	85	819
94	85	812
95	85	805
96	85	798
97	86	791
98	86	785
99	86	778
100	86	772
101	87	766
102	87	760
103	87	754
104	87	748
105	88	743
106	88	737
107	88	732
108	88	726
109	89	721
110	89	716
111	89	711
112	90	706
113	90	701
114	90	696
115	90	691
116	90	686
117	91	681
118	91	677
119	91	672
120	91	668
121	92	663
122	92	659
123	92	654
124	92	650
125	93	646
126	93	642
127	93	638
128	93	634
129	94	630
130	94	627
131	94	623
132	95	620
133	95	616
134	95	613
135	95	609
136	96	605
137	96	602
138	96	598
139	96	595
140	97	592
141	97	588
142	97	585
143	97	581
144	98	578
145	98	575
146	98	572
147	98	568
148	99	565
149	99	562
150	99	560
151	99	557
152	100	554
153	100	551
154	100	548
155	100	545
156	101	542
157	101	540
158	101	537
159	101	534
160	101	531
161	102	529
162	102	526
163	102	523
164	103	521
165	103	518
166	103	516
167	103	513
168	104	511
169	104	509
170	104	506
171	104	504
172	105	502
173	105	500
174	105	497
175	105	495
176	106	493
177	106	491
178	106	489
179	106	486
180	107	484
181	107	482
182	107	480
183	107	478
184	108	476
185	108	474
186	108	472
187	109	470
188	109	468
189	109	466
190	109	465
191	110	463
192	110	461
193	110	459
194	110	457
195	111	456
196	111	454
197	111	452
198	112	451
199	112	449
200	112	447
201	112	445
202	113	444
203	113	442
204	113	440
205	113	438
206	114	437
207	114	435
208	114	433
209	114	431
210	115	430
211	115	428
212	115	426
213	115	425
214	116	423
215	116	422
216	116	420
217	116	418
218	117	417
219	117	415
220	117	414
221	117	412
222	117	410
223	118	409
224	118	407
225	118	406
226	118	404
227	119	403
228	119	401
229	119	400
230	119	398
231	120	397
232	120	395
233	120	394
234	120	393
235	120	391
236	121	390
237	121	388
238	121	387
239	121	385
240	122	384
241	122	383
242	122	381
243	122	380
244	123	379
245	123	377
246	123	376
247	123	375
248	123	373
249	124	372
250	124	371
251	124	370
252	124	368
253	125	367
254	125	366
255	125	365
256	126	364
257	126	363
258	126	362
259	126	361
260	127	360
261	127	358
